4K,#genre#
星空卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/startv

湾湾,#genre#
Fox Sports,rtmp://59.124.75.156:1935/sat/tv731
Fox Sports2,rtmp://59.124.75.156:1935/sat/tv741
民视,rtmp://59.124.75.156/sat/tv051
台视,rtmp://59.124.75.156/sat/tv071
中视,rtmp://59.124.75.157/sat/tv091
华视,rtmp://59.124.75.156/sat/tv111
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
TVBS·欢乐台,rtmp://59.124.75.157/sat/tv421
东森超视,rtmp://59.124.75.156/sat/tv771
东森财经新闻,rtmp://59.124.75.157/sat/tv571
纬来育乐,rtmp://59.124.75.156:1935/sat/tv701
纬来体育,rtmp://59.124.75.156/sat/tv721#rtmp://59.124.75.156:1935/sat/tv721
MoMo综合台,rtmp://59.124.75.157/sat/tv761
TVBS欢乐,rtmp://59.124.75.156:1935/sat/tv421#rtmp://59.124.75.156/sat/tv421
TVBS新闻,rtmp://59.124.75.156:1935/sat/tv551#rtmp://59.124.75.156/sat/tv551
东森新闻,rtmp://59.124.75.156:1935/sat/tv571
Mono综合,rtmp://59.124.75.156:1935/sat/tv761
纬来日本,rtmp://59.124.75.156:1935/sat/tv771
中天新闻,rtmp://59.124.75.156:1935/sat/tv521

海外,#genre#
法国24台英语,http://static.france24.com/live/F24_EN_LO_HLS/live_web.m3u8
俄罗斯IGITV蓝光,http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8
俄罗斯ТВTV蓝光,http://hls-video01.cdnvideo.ru/video01/smil:video01.smil/chunklist_b4128000.m3u8
墨西哥卫视蓝光,http://bcoveliveios-i.akamaihd.net/hls/live/201661/57828478001/milenio_center_512k@51752.m3u8
新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
ANTV,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
泰国lNBT 曼谷频道,http://live.prd.go.th:1935/live/ch1_L.sdp/chunklist.m3u8
泰国PBS,http://thaipbs-live.cdn.byteark.com/live-en/playlist_720p/index.m3u8
韩国 Ⅰ KCTV,http://119.77.96.184:1935/chn21/chn21/chunklist_w252131137.m3u8
韩国 Ⅰ BBS佛教广播,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
韩国 Ⅰ 阿里郎WORLD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
韩国 Ⅰ KCTV中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
印度音乐电视台,http://104.237.60.234/live/gabruutv.m3u8?dsjtv.m3u8
蒙古国 Ⅰ MNB,http://103.14.38.107:1935/live/mnb.stream/master.m3u8
美国  狗狗宠物,http://video.blivenyc.com/broadcast/prod/2061/22/file-3192k.m3u8
彭博财经(美)Bloomberg TV,http://liveproduseast.akamaized.net/us/Channel-USTV-AWS-virginia-1/Source-USTV-1000-1_live.m3u8
美国Denver 8 TV,http://granicusliveus8-a.akamaihd.net/denver/G0080_002/chunklist.m3u8
美国 Ⅰ 美国中央台,http://livestream.usatv.com/hls/m3u8/USARMENIA720.m3u8
美国 Ⅰ 中国环球 (美国),http://live.cgtn.com/1000/prog_index.m3u8
法国 Ⅰ 法国24台 (英语),http://f24hls-i.akamaihd.net/hls/live/221193-b/F24_EN_LO_HLS/master_900.m3u8
法国 Ⅰ 法国24台 (法语),http://f24hls-i.akamaihd.net/hls/live/221192/F24_FR_LO_HLS/master_900.m3u8
Hope俄罗斯,https://live-tvhope.cdnvideo.ru/tvhope-pull/tvhope_1/chunklist.m3u8
斯诺伐克 Ⅰ J O J 频道,http://nn2.joj.sk/hls/joj-540.m3u8
斯洛伐克 Ⅰ WAU 频道,http://nn2.joj.sk/hls/wau-540.m3u8
阿联酋l迪拜赛马,http://dmisvthvll.cdn.mangomolo.com/events/smil:events.smil/chunklist_b1600000.m3u8
阿联酋l迪拜萨马,http://dmieigthvll.cdn.mangomolo.com/samadubai/smil:samadubai.stream.smil/chunklist_b1600000.m3u8
越南越南,http://antvlive.ab5c6921.cdnviet.com/antv/chunklist.m3u8
联合国频道,https://bcliveunivsecure-lh.akamaihd.net/i/un150_A1_1@575439/index_1328_av-b.m3u8
全美电视,https://dcunilive30-lh.akamaihd.net/i/dclive_1@535522/master.m3u8
Ytv,http://streams.sibinformburo.cdnvideo.ru/sibinformburo/sibinformburo.sdp/chunklist.m3u8
VB,http://live.tv2bornholm.dk/stream/live/chunklist.m3u8
REUN,https://livefta.malimarcdn.com/ftaedge00/houngfa.sdp/chunklist.m3u8
Star Sports,rtmp://ivi.bupt.edu.cn:1935/livetv/starsports
KISS TV,https://fms-https1.mediadirect.ro/live3/_definst_/kiss/playlist.m3u8
CGTN Documentary,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN Русский,http://liveru.cgtn.com/1000r/prog_index.m3u8
HD Fashion & Lifestyle (UA),http://95.67.47.115/hls/hdfashion_ua_low/index.m3u8
WOW!TV,http://cdn.elsalvadordigital.com:1935/wowtv/wowtv/chunklist_w454258933.m3u8#http://cdn.elsalvadordigital.com:1935/wowtv/wowtv/chunklist_w84588335.m3u8
American Horrors,http://170.178.189.66:1935/live/Stream1/.m3u8
Arirang TV,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
Bahrain Sport,http://185.105.4.106:1935/live/Bahrain%20Sports/chunklist_w1452818509.m3u8
Bambarbia TV,http://cdn1.live-tv.od.ua:8081/bbb/bbbtv-abr/bbb/bbbtv-720p/playlist.m3u8
California Music Channel,https://cmctv.ios.internapcdn.net/cmctv_vitalstream_com/live_1/CMC-TV/master.m3u8
CMC TV,http://cmctv.ios.internapcdn.net/cmctv_vitalstream_com/live_1/CMC-TV/CMC-TV.m3u8
Most Video 2,http://w4.mostvideo.tv/heltv/ch2.m3u8
MUSIC JAPAN,http://122.155.180.8:5021/live/495
